VERB          : SYNONYMS                               : SYNTAX
lock          :                                        : lock (obj)
lock_with     :                                        : lock (obj) with (key)
look          : (+ gaze, peek)                         : look
look_behind   :                                        : look behind (bulk)
look_in       :                                        : look in (cont)
look_out_of   :                                        : look out of (obj)
look_through  :                                        : look through (bulk)
look_under    :                                        : look under (bulk)
look_up       :                                        : look up
no            :                                        : no
notify        : (on, off)                              : notify.  notify on.  notify off
open          :                                        : open (obj)
open_with     :                                        : open (obj) with (instr)
play          :                                        : play (obj)
play_with     :                                        : play with (obj)
pour          : (= defined at the verb 'empty')        : pour (obj)
pour_in       : (= defined at the verb 'emtpy_in')     : pour (obj) in (cont)
pour_on       : (= defined at the verb 'empty_on')     : pour (obj) on (surface)
pray          :                                        : pray
pry           :                                        : pry (obj)
pry_with      :                                        : pry (obj) with (instr)
pull          :                                        : pull (obj)
push          :                                        : push (obj)
push_with     :                                        : push (obj) with (instr)
put           : (+ lay, place)                         : put (obj)
put_against   :                                        : put (obj) against (bulk))
put_behind    :                                        : put (obj) behind (bulk)
put_down      : (= defined at the verb 'drop')         : put down (obj)
put_in        : (+ insert)                             : put (obj) in (cont)
put_near      :                                        : put (obj) near (bulk)
put_on        :                                        : put (obj) on (surface)
put_under     :                                        : put (obj) under (bulk)
quit          : (+ q)                                  : quit
read          :                                        : read (obj)
remove        :                                        : remove (obj)
restart       :                                        : restart
restore       :                                        : restore
rub           :                                        : rub (obj)
save          :                                        : save
say           :                                        : say (topic)
say_to        :                                        : say (topic) to (act)
score         :                                        : score
scratch       :                                        : scratch (obj)
script        :                                        : script.  script on.  script off.
search        :                                        : search (obj)
sell          :                                        : sell (item)
shake         :                                        : shake (obj)
shoot         : (at)                                   : shoot at (target)
shoot_with    :                                        : shoot (target) with (weapon)
shout         : (+ scream, yell)                       : shout
show          : (+ reveal)                             : show (obj) to (act)
sing          :                                        : sing
sip           :                                        : sip (liq)
sit           : (down)                                 : sit.  sit down.
sit_on        :                                        : sit on (surface)
sleep         : (+ rest)                               : sleep
smell0        :                                        : smell
smell         :                                        : smell (odour)
squeeze       :                                        : squeeze (obj)
stand         : (up)                                   : stand.  stand up.
stand_on      :                                        : stand on (surface)
swim          :                                        : swim
swim_in       :                                        : swim in (liq)
switch        :                                        : switch (obj)
switch_on     : (= defined at the verb 'turn_on')      : switch on (app)
switch_off    : (= defined at the verb 'turn_off')     : switch off (app)
take          : (+ carry, get, grab, hold, obtain)     : take (obj)
take_from     : (+ remove from)                        : take (obj) from (holder)
talk          :                                        : talk
talk_to       : (+ speak)                              : talk to (act)
taste         : (+ lick)                               : taste (obj)
tear          : (+ rip)                                : tear (obj)
tell          : (+ enlighten, inform)                  : tell (act) about (topic)
think         :                                        : think
think_about   :                                        : think about (topic)
throw         :                                        : throw (projectile)
throw_at      :                                        : throw (projectile) at (target)
throw_in      :                                        : throw (projectile) in (cont)
throw_to      :                                        : throw (projectile) to (recipient)
tie           :                                        : tie (obj)
tie_to        :                                        : tie (obj) to (target)
touch         : (+ feel)                               : touch (obj)
touch_with    : (+ feel)                               : touch (ogg) 'with' (strum)
turn          : (+ rotate)                             : turn (obj)
turn_on       :                                        : turn on (app)
turn_off      :                                        : turn off (app)
undress       :                                        : undress
unlock        :                                        : unlock (obj)
unlock_with   :                                        : unlock (obj) with (key)
use           :                                        : use (obj)
use_with      :                                        : use (obj) with (instr)
verbose       :                                        : verbose
wait          : (+ z)                                  : wait
wear          :                                        : wear (obj)
what_am_i     :                                        : what am i
what_is       :                                        : what is (obj)
where_am_i    :                                        : where am i
where_is      :                                        : where is (obj)
who_am_i      :                                        : who am i
who_is        :                                        : who is (act)
write         :                                        : write (txt) on (obj)
yes           :                                        : yes
